Code,Subject Name,Year,Type,School
ACE 501,Risk and Info: Theory and App,2020,Regular,ACES
ACE 516,Environmental Economics,2020,Regular,ACES
ACE 520,Time Series Econometrics for Price Analysis,2020,Regular,ACES
ACE 531,Impact Evaluation,2020,Regular,ACES
ACE 562,Applied Regression Models I,2020,Regular,ACES
ACE 564,Applied Regression Models II,2020,Regular,ACES
ACE 569,Career Development for PhDs,2020,Regular,ACES
ACE 591,Independent Study,2020,Regular,ACES
ACE 592,Special Topics,2020,Regular,ACES
ACE 594,Seminars and Workshops,2020,Regular,ACES
ACE 599,Thesis Research,2020,Regular,ACES
ACES 101,Contemporary Issues in ACES,2020,Regular,ACES
ACES 179,History of Ag in IL Since 1860,2020,Regular,ACES
ACES 199,Undergraduate Open Seminar,2020,Regular,ACES
ACES 200,ACES Transfer Orientation,2020,Regular,ACES
ACES 293,International Internship,2020,Regular,ACES
ACES 295,Undergrad Research or Thesis,2020,Regular,ACES
ACES 298,International Experience,2020,Regular,ACES
ACES 299,ACES Study Abroad,2020,Regular,ACES
ADV 150,Introduction to Advertising,2020,Regular,Media
ADV 199,Undergraduate Seminar,2020,Regular,Media
ADV 270,Principles of Sales,2020,Regular,Media
ADV 281,Advertising Research Methods,2020,Regular,Media
ADV 283,Advertising and Brand Strategy,2020,Regular,Media
ADV 284,Consumer Insight,2020,Regular,Media
ADV 305,"Digital Advertising Content, Technologies and Concepts",2020,Regular,Media
ADV 310,Intro to Public Relations,2020,Regular,Media
ADV 311,Classic Campaigns,2020,Regular,Media
ADV 320,Sales Management,2020,Regular,Media
ADV 350,Writing for Public Relations,2020,Regular,Media
ADV 370,Sales and the Consumer,2020,Regular,Media
ADV 390,Content Creation,2020,Regular,Media
ADV 393,Advertising and Society,2020,Regular,Media
ADV 396,Research Experience in Advertising,2020,Regular,Media
ADV 400,Special Problems,2020,Regular,Media
ADV 409,Media Entrepreneurship,2020,Regular,Media
ADV 410,Public Relations Strategies,2020,Regular,Media
ADV 452,Creative Concepts I,2020,Regular,Media
ADV 460,Innovation in Advertising,2020,Regular,Media
ADV 482,Qualitative Analysis in Advert,2020,Regular,Media
ADV 483,Audience Analysis,2020,Regular,Media
ADV 490,Advanced Special Topics in Advertising,2020,Regular,Media
ADV 491,Advertising Management Plan,2020,Regular,Media
ADV 495,Internship Seminar,2020,Regular,Media
ADV 496,UG Research Project,2020,Regular,Media
ADV 498,The Sandage Project,2020,Regular,Media
ADV 509,Media Entrepreneurship,2020,Regular,Media
ADV 550,Foundations of Advertising,2020,Regular,Media
ADV 580,Advertising Theory,2020,Regular,Media
ADV 581,Quanti Research Methods in Adv,2020,Regular,Media
ADV 587,Graduate Seminar I,2020,Regular,Media
ADV 590,Special Topics in Advertising,2020,Regular,Media
ADV 598,Professional Project,2020,Regular,Media
ADV 599,Thesis Research,2020,Regular,Media
AE 100,Intro to Aerospace Engineering,2020,Regular,Grainger
AE 140,Aerospace Computer-Aided Design,2020,Regular,Grainger
AE 199,Undergraduate Open Seminar,2020,Regular,Grainger
AE 202,Aerospace Flight Mechanics,2020,Regular,Grainger
AE 311,Incompressible Flow,2020,Regular,Grainger
AE 312,Compressible Flow,2020,Regular,Grainger
AE 321,Mechs of Aerospace Structures,2020,Regular,Grainger
AE 323,Applied Aerospace Structures,2020,Regular,Grainger
AE 352,Aerospace Dynamical Systems,2020,Regular,Grainger
AE 353,Aerospace Control Systems,2020,Regular,Grainger
AE 395,Honors Project,2020,Regular,Grainger
AE 396,Honors Seminar,2020,Regular,Grainger
AE 397,Independent Study,2020,Regular,Grainger
AE 402,Orbital Mechanics,2020,Regular,Grainger
AE 412,Viscous Flow & Heat Transfer,2020,Regular,Grainger
AE 416,Applied Aerodynamics,2020,Regular,Grainger
AE 420,Finite Element Analysis,2020,Regular,Grainger
AE 428,Mechanics of Composites,2020,Regular,Grainger
AE 433,Aerospace Propulsion,2020,Regular,Grainger
AE 442,Aerospace Systems Design I,2020,Regular,Grainger
AE 451,Aeroelasticity,2020,Regular,Grainger
AE 452,Introduction to Nonlinear Dynamics and Vibrations,2020,Regular,Grainger
AE 460,Aerodynamics & Propulsion Lab,2020,Regular,Grainger
AE 482,Introduction to Robotics,2020,Regular,Grainger
AE 483,Autonomous Systems Lab,2020,Regular,Grainger
AE 485,Spacecraft Environment and Interactions,2020,Regular,Grainger
AE 497,Independent Study,2020,Regular,Grainger
AE 498,Special Topics,2020,Regular,Grainger
AE 512,Molecular Gas Dynamics,2020,Regular,Grainger
AE 523,Nanoscale Contact Mechanics,2020,Regular,Grainger
AE 528,Nonlinear Continuous Media,2020,Regular,Grainger
AE 542,Aerospace Syst Engineering I,2020,Regular,Grainger
AE 564,Advanced Aero Propulsion Lab,2020,Regular,Grainger
AE 590,Seminar,2020,Regular,Grainger
AE 597,Independent Study,2020,Regular,Grainger
AE 598,Special Topics,2020,Regular,Grainger
AE 599,Thesis Research,2020,Regular,Grainger
AFAS 102,Leadership Laboratory,2020,Regular,AFAS
AFAS 111,Heritage and Values of the United States Air Force I,2020,Regular,AFAS
AFAS 120,Intro to US Armed Forces,2020,Regular,AFAS
AFAS 221,Team and Leadership Fundamentals I,2020,Regular,AFAS
AFAS 331,Leading People and Effective Communication I,2020,Regular,AFAS
AFAS 341,Nat Sec Afrs/Prep Actv Duty I,2020,Regular,AFAS
AFRO 100,Intro to African American St,2020,Regular,LAS
AFRO 101,"Black America, 1619-Present",2020,Regular,LAS
AFRO 132,African American Music,2020,Regular,LAS
AFRO 134,"Religion, Race, and Resistance",2020,Regular,LAS
AFRO 201,US Racial & Ethnic Politics,2020,Regular,LAS
AFRO 212,Intro African American Theat,2020,Regular,LAS
AFRO 226,Black Women Contemp US Society,2020,Regular,LAS
AFRO 228,Hip Hop Music: History and Culture,2020,Regular,LAS
AFRO 243,Pan Africanism,2020,Regular,LAS
AFRO 250,Introduction to Health and Wellness in the Black Community,2020,Regular,LAS
AFRO 259,Early African American Literature and Culture,2020,Regular,LAS
AFRO 260,Modern African American Literature and Culture,2020,Regular,LAS
AFRO 276,Afro-American Hist Since 1877,2020,Regular,LAS
AFRO 281,Constructing Race in America,2020,Regular,LAS
AFRO 310,Race and Cultural Diversity,2020,Regular,LAS
AFRO 411,African American Psychology,2020,Regular,LAS
AFRO 421,Racial and Ethnic Families,2020,Regular,LAS
AFRO 474,"Black Freed Move, 1955-Present",2020,Regular,LAS
AFRO 481,Urban Communities & Public Pol,2020,Regular,LAS
AFRO 482,Immersion Journalism,2020,Regular,LAS
AFRO 490,Theory in African American St,2020,Regular,LAS
AFRO 500,Core Probs African-Am Studies,2020,Regular,LAS
AFRO 595,Directed Independent Readings,2020,Regular,LAS
AFRO 597,Problems in African-Am Studies,2020,Regular,LAS
AFST 111,History of Africa to 1800,2020,Regular,LAS
AFST 199,Undergraduate Open Seminar,2020,Regular,LAS
AFST 213,African Muslim Societies,2020,Regular,LAS
AFST 231,Elementary Swahili I,2020,Regular,LAS
AFST 241,Elementary Wolof I,2020,Regular,LAS
AFST 243,Pan Africanism,2020,Regular,LAS
AFST 338,Egypt Since World War I,2020,Regular,LAS
AFST 405,Topics Swahili Lang & Lit I,2020,Regular,LAS
AFST 433,Intermediate Swahili I,2020,Regular,LAS
AFST 435,Advanced Swahili I,2020,Regular,LAS
AFST 490,Independent Study,2020,Regular,LAS
AFST 495,Special Topics,2020,Regular,LAS
AFST 510,Problems in African History,2020,Regular,LAS
AFST 550,Special Topics,2020,Regular,LAS
AFST 599,Thesis Research,2020,Regular,LAS
AGCM 220,Communicating Agriculture,2020,Regular,LAS
AGCM 250,Visual Principles for Ag Comm,2020,Regular,LAS
AGCM 270,Ag Sales and Persuasive Communication,2020,Regular,LAS
AGED 220,Prog Del in Ag & Leadership Ed,2020,Regular,ACES
AGED 350,Early Field Experience,2020,Regular,ACES
AGED 400,Foundations of Ag & Extn Ed,2020,Regular,ACES
AGED 421,Teaching Strategies in AGED,2020,Regular,ACES
AGED 496,Beginning Agriculture Teachers Seminar,2020,Regular,ACES
AGED 510,Education Program Management,2020,Regular,ACES
AGED 511,Grad Professional Dev in Ag Ed,2020,Regular,ACES
AGED 550,Advanced Program Delivery,2020,Regular,ACES
AGED 551,Advanced Program Evaluation,2020,Regular,ACES
AHS 125,Freshmen Scholars Seminar,2020,Regular,AHS
AHS 199,Undergraduate Open Seminar,2020,Regular,AHS
AHS 292,AHS Study Abroad,2020,Regular,AHS
AHS 399,Advanced Open Seminar,2020,Regular,AHS
AHS 494,Special Topics,2020,Regular,AHS
AIS 214,American Indian Law & Politics,2020,Regular,LAS
AIS 265,Intro to American Indian Lit,2020,Regular,LAS
AIS 277,Encounters in Native America,2020,Regular,LAS
