Code,Subject Name,Year,Type,School
CWL 250,Grimms' Fairy Tales - ACP,2020,Regular,LAS
CWL 273,The Holocaust in Context,2020,Regular,LAS
CWL 413,Dante,2020,Regular,LAS
CWL 467,Japanese Cinema,2020,Regular,LAS
CWL 470,Imagining the Welfare State,2020,Regular,LAS
CWL 478,Classical Chinese Thought,2020,Regular,LAS
CWL 490,Topics in Classical Literature,2020,Regular,LAS
CWL 502,Methods of Comparative Lit,2020,Regular,LAS
CWL 504,Theories of Cinema,2020,Regular,LAS
CWL 581,Seminar Lit Themes,2020,Regular,LAS
CWL 582,Proseminar,2020,Regular,LAS
CZCH 102,Elementary Czech II,2020,Regular,LAS
DANC 102,Modern Dance II,2020,Regular,FAA
DANC 103,Contact Improvisation,2020,Regular,FAA
DANC 104,Making Dances,2020,Regular,FAA
DANC 106,Jazz Dance II,2020,Regular,FAA
DANC 120,Tap Dance I,2020,Regular,FAA
DANC 210,Int Jazz Technique,2020,Regular,FAA
DANC 212,Musical Theater Dance,2020,Regular,FAA
DANC 215,Int Tap Dance Technique,2020,Regular,FAA
DANC 245,Introduction to Somatics,2020,Regular,FAA
DANC 259,Contact Improv for Act/Mus/Dan,2020,Regular,FAA
DANC 268,Music Theory for Dancers,2020,Regular,FAA
DANC 340,Dancing Black Popular Culture,2020,Regular,FAA
DANC 350,Creative Dance for Children,2020,Regular,FAA
DANC 363,Advanced Improvisation,2020,Regular,FAA
DANC 375,Production in Dance,2020,Regular,FAA
DANC 400,Viewing Dance,2020,Regular,FAA
DANC 402,Alexander Technique Practicum,2020,Regular,FAA
DANC 410,Advanced Jazz Technique,2020,Regular,FAA
DANC 424,Collaborative Performance,2020,Regular,FAA
DANC 441,Dance History Seminar,2020,Regular,FAA
DANC 450,Teaching Workshop,2020,Regular,FAA
DANC 459,Contact Improv Act/Mus/Dan II,2020,Regular,FAA
DANC 463,Advanced Improvisation II,2020,Regular,FAA
DANC 550,Advanced Research in Dance,2020,Regular,FAA
EALC 220,Traditional China,2020,Regular,LAS
EALC 227,Modern Japanese History,2020,Regular,LAS
EALC 287,Introduction to Buddhism,2020,Regular,LAS
EALC 361,Women in East Asia,2020,Regular,LAS
EALC 403,Word and Image in Chinese Art,2020,Regular,LAS
EALC 466,Japanese Cinema,2020,Regular,LAS
EALC 476,Classical Chinese Thought,2020,Regular,LAS
EALC 488,History of Chinese Buddhism,2020,Regular,LAS
ECE 198,Special Topics,2020,Regular,Grainger
ECE 317,ECE Technology & Management,2020,Regular,Grainger
ECE 416,Biosensors,2020,Regular,Grainger
ECE 424,Computer Security II,2020,Regular,Grainger
ECE 425,Intro to VLSI System Design,2020,Regular,Grainger
ECE 431,Electric Machinery,2020,Regular,Grainger
ECE 434,Mobile Computing & Application,2020,Regular,Grainger
ECE 443,LEDs and Solar Cells,2020,Sustainability,Grainger
ECE 451,Adv Microwave Measurements,2020,Regular,Grainger
ECE 455,Optical Electronics,2020,Regular,Grainger
ECE 458,Applic of Radio Wave Propag,2020,Regular,Grainger
ECE 460,Optical Imaging,2020,Regular,Grainger
ECE 461,Digital Communications,2020,Regular,Grainger
ECE 472,Biomedical Ultrasound Imaging,2020,Regular,Grainger
ECE 478,Formal Software Devel Methods,2020,Regular,Grainger
ECE 481,Nanotechnology,2020,Regular,Grainger
ECE 483,Analog IC Design,2020,Regular,Grainger
ECE 489,Robot Dynamics and Control,2020,Regular,Grainger
ECE 495,Photonic Device Laboratory,2020,Regular,Grainger
ECE 513,Vector Space Signal Processing,2020,Regular,Grainger
ECE 520,EM Waves & Radiating Systems,2020,Regular,Grainger
ECE 528,Analysis of Nonlinear Systems,2020,Regular,Grainger
ECE 536,Integ Optics & Optoelectronics,2020,Regular,Grainger
ECE 543,Statistical Learning Theory,2020,Regular,Grainger
ECE 546,Advanced Signal Integrity,2020,Regular,Grainger
ECE 549,Computer Vision,2020,Regular,Grainger
ECE 552,Numerical Circuit Analysis,2020,Regular,Grainger
ECE 554,Dynamic System Reliability,2020,Regular,Grainger
ECE 556,Coding Theory,2020,Regular,Grainger
ECE 561,Detection & Estimation Theory,2020,Regular,Grainger
ECE 576,Power System Dynm & Stability,2020,Regular,Grainger
ECE 579,Computational Complexity,2020,Regular,Grainger
ECE 585,MOS Device Modeling & Design,2020,Regular,Grainger
ECE 586,Topics in Decision and Control,2020,Regular,Grainger
ECON 453,Economies of the Middle East and North Africa,2020,Regular,LAS
ECON 480,Industrial Comp and Monopoly,2020,Regular,LAS
ECON 503,Econometrics,2020,Regular,LAS
ECON 511,Public Goods Theory,2020,Regular,LAS
ECON 514,International Financial,2020,Regular,LAS
ECON 517,Monetary Policy,2020,Regular,LAS
ECON 519,Development and Growth Policy,2020,Regular,LAS
ECON 529,Macroeconomics for Business,2020,Regular,LAS
ECON 533,Microeconomic Theory II,2020,Regular,LAS
ECON 534,Macroeconomic Theory II,2020,Regular,LAS
ECON 535,Econometric Analysis II,2020,Regular,LAS
ECON 540,Labor Economics I,2020,Regular,LAS
ECON 553,Demand/Supply/Firms/Households,2020,Regular,LAS
ECON 578,Large Sample Theory,2020,Regular,LAS
ECON 582,Empirical Ind Organization,2020,Regular,LAS
ECON 599,Thesis Research,2020,Regular,LAS
EDUC 299,Education Study Abroad,2020,Regular,EDU
EIL 445,Second Lang Reading & Writing,2020,Regular,LAS
EIL 488,Phonology for Second Language Teachers,2020,Regular,LAS
EIL 512,Practicum in Teaching ESL,2020,Regular,LAS
ENG 398,Special Topics,2020,Regular,Grainger
ENGL 101,Intro to Poetry,2020,Regular,LAS
ENGL 117,Shakespeare on Film,2020,Regular,LAS
ENGL 216,Legends of King Arthur,2020,Regular,LAS
ENGL 224,Latina/o Popular Culture,2020,Regular,LAS
ENGL 251,The Twentieth-Century American Novel,2020,Regular,LAS
ENGL 261,Topics in Literature and Culture,2020,Regular,LAS
ENGL 267,Grimms' Fairy Tales - ACP,2020,Regular,LAS
ENGL 269,The Holocaust in Context,2020,Regular,LAS
ENGL 277,Gender in Gaming,2020,Regular,LAS
ENGL 325,Topics in LGBT Literature and Film,2020,Regular,LAS
ENGL 357,Literatures of the Displaced,2020,Regular,LAS
ENGL 374,World Cinema in English,2020,Regular,LAS
ENGL 423,Milton,2020,Regular,LAS
ENGL 429,Eighteenth-Century Fiction,2020,Regular,LAS
ENGL 431,Topics in British Romantic Literature,2020,Regular,LAS
ENGL 460,Literature of American Minorities,2020,Regular,LAS
ENGL 462,Topics in Modern Fiction,2020,Regular,LAS
ENGL 467,Multimedia Environmental Communications,2020,Sustainability,LAS
ENGL 475,Literature and Other Disciplines,2020,Regular,LAS
ENGL 498,Environmental Writing for Publication,2020,Sustainability,LAS
ENGL 504,Theories of Cinema,2020,Regular,LAS
ENGL 514,Seminar in Medieval Literature,2020,Regular,LAS
ENGL 559,Seminar Afro-American Lit,2020,Regular,LAS
ENGL 563,Seminar Themes and Movements,2020,Regular,LAS
ENGL 578,Seminar Lit &Other Disciplines,2020,Regular,LAS
ENGL 584,Topics Discourse and Writing,2020,Regular,LAS
ENGL 586,Topics in Digital Studies,2020,Regular,LAS
ENSU 303,Sustainable Business I,2020,Sustainability,ACES
ENVS 101,Introduction to Energy Sources,2020,Sustainability,ACES
ENVS 301,Tools for Sustainability,2020,Regular,ACES
ENVS 330,Environmental Communications,2020,Regular,ACES
ENVS 336,Tomorrow's Environment,2020,Regular,ACES
ENVS 380,Environmental Geology,2020,Sustainability,ACES
ENVS 420,Conservation Biology,2020,Regular,ACES
ENVS 510,Adv Natural Resource Economics,2020,Regular,ACES
ENVS 516,Reprod & Dev Toxicology,2020,Regular,ACES
EOL 541,Supervision of Learning Envir,2020,Regular,Education
EOL 542,Leading Learning-Centrd Schls,2020,Regular,Education
EOL 543,Leading School Improvement,2020,Regular,Education
EOL 544,Leading Improvement and Innovation,2020,Regular,Education
EOL 548,Poli & Cultural Context of Ed,2020,Regular,Education
EOL 560,Clinical Experience Admin,2020,Regular,Education
EOL 562,Law and School District Leader,2020,Regular,Education
EOL 564,District Change for Equity and Social Justice,2020,Regular,Education
EOL 571,Foundation of Higher Edu,2020,Regular,Education
EOL 582,College Student Development,2020,Regular,Education
EOL 588,Capstone Experience I & II,2020,Regular,Education
EOL 589,Internship in Higher Ed,2020,Regular,Education
EOL 590,Advanced Seminar,2020,Regular,Education
EPOL 395,Independent Study,2020,Regular,EDU
EPOL 435,Global Migration and Education,2020,Regular,EDU
EPOL 532,Researching Race in Education,2020,Regular,EDU
EPOL 585,Ethnographic Methods in Educ,2020,Regular,EDU
EPS 201,Foundations of Education,2020,Regular,Education
EPS 202,Foundations of Education-ACP,2020,Regular,Education
EPS 500,Topics in Educational Policy,2020,Regular,Education
EPS 532,"Knowledge, Learning & Pedagogy",2020,Regular,Education
EPS 535,Assessment for Learning,2020,Regular,Education
EPS 553,Global Issues in Learning,2020,Regular,Education
EPS 554,New Media and Literacies,2020,Regular,Education
EPS 570,Postcolonial Theory & Methodology,2020,Regular,Education
EPS 580,Researching Global Education,2020,Regular,Education
EPS 581,Education and Stratification,2020,Regular,Education
EPSY 199,Undergraduate Open Seminar,2020,Regular,EDU
EPSY 398,Thesis,2020,Regular,EDU
EPSY 419,Counseling Psychology Pre-Practicum,2020,Regular,EDU
EPSY 427,Learning from Text,2020,Regular,EDU
EPSY 471,Introduction to Evaluation Methods,2020,Regular,EDU
EPSY 490,Developments in Educational Psychology,2020,Regular,EDU
EPSY 515,Multicultural Counseling,2020,Regular,EDU
EPSY 546,Human Factors in Health Care Engineering Systems,2020,Regular,EDU
EPSY 553,Global Issues in Learning,2020,Regular,EDU
EPSY 556,Analysis of Educational Technologies,2020,Regular,EDU
EPSY 567,Personality Assessment,2020,Regular,EDU
EPSY 581,Applied Regression Analysis,2020,Regular,EDU
EPSY 586,Theories of Measurement II,2020,Regular,EDU
EPSY 587,Hierarchical Linear Models,2020,Regular,EDU
ESE 103,Earth's Physical Systems,2020,Regular,LAS
ESE 104,Geology of the National Parks,2020,Regular,LAS
ESE 111,Emergence of Life,2020,Regular,LAS
ESE 222,Big Rivers of the World,2020,Regular,LAS
ESE 254,"American People, Places, & Environments",2020,Regular,LAS
ESE 287,Environment and Society,2020,Regular,LAS
ESE 320,"Water Planet, Water Crisis",2020,Regular,LAS
ESE 333,Earth Materials and the Env,2020,Regular,LAS
ESE 465,Transportation & Sustainability,2020,Regular,LAS
ESE 467,Multimedia Environmental Communications,2020,Regular,LAS
ESE 498,Environmental Writing for Publication,2020,Regular,LAS
EURO 415,Europe and the Mediterranean,2020,Regular,IGI
EURO 470,Imagining the Welfare State,2020,Regular,IGI
EURO 490,Special Topics in EU Studies,2020,Regular,IGI
EURO 502,The EU in a Global Context,2020,Regular,IGI
FAA 199,Undergraduate Open Seminar,2020,Regular,FAA
FAA 202,Artsful Teaching through Integ,2020,Regular,FAA
FAA 299,FAA Study Abroad,2020,Regular,FAA
FIN 415,Fixed Income Portfolios,2020,Regular,GIES
FIN 422,Cases in Corporate Finance,2020,Regular,GIES
FIN 431,Property-Liability Insurance,2020,Regular,GIES
FIN 434,Employee Benefit Plans,2020,Regular,GIES
FIN 443,Legal Issues in Real Estate,2020,Regular,GIES
FIN 446,Real Estate Financial Markets,2020,Regular,GIES
FIN 461,Financial Intermediation,2020,Regular,GIES
FIN 513,Financial Engineering I,2020,Regular,GIES
FIN 515,Fixed Income Portfolios,2020,Regular,GIES
FIN 526,Enterprise Risk Management,2020,Regular,GIES
FIN 543,Legal Issues in Real Estate,2020,Regular,GIES
FIN 546,Real Estate Financial Markets,2020,Regular,GIES
FIN 551,International Finance,2020,Regular,GIES
FIN 561,Financial Intermediation,2020,Regular,GIES
FIN 567,Financial Risk Management,2020,Regular,GIES
FIN 571,Retirement Policy,2020,Regular,GIES
FIN 572,Health Care Policy,2020,Regular,GIES
FIN 593,Seminar in Investments,2020,Regular,GIES
FLTE 471,Introduction to Second Language Teaching,2020,Regular,LAS
FR 134,Accel Intermed French II,2020,Regular,Unknown
FR 301,Medieval and Early Modern Literature,2020,Regular,Unknown
FR 337,Contemporary France,2020,Regular,Unknown
FR 443,Studies in French,2020,Regular,Unknown
FR 462,Introduction to Romance Linguistics,2020,Regular,Unknown
FR 574,Seminar 19thC French Lit,2020,Regular,Unknown
FR 576,Seminar in Francophonie,2020,Regular,Unknown
FSHN 145,Intro Hospitality Management,2020,Regular,ACES
FSHN 201,Math for Food Science,2020,Regular,ACES
FSHN 260,Raw Materials for Processing,2020,Regular,ACES
FSHN 322,Nutrition and the Life Cycle,2020,Regular,ACES
FSHN 329,Communication in Nutrition,2020,Regular,ACES
FSHN 349,Food Service Sanitation,2020,Regular,ACES
FSHN 418,Food Analysis,2020,Regular,ACES
FSHN 425,Food Marketing,2020,Regular,ACES
FSHN 427,Biochemical Nutrition II,2020,Regular,ACES
FSHN 429,Nutrition Assessment & Therapy,2020,Regular,ACES
FSHN 442,Hospitality Management & Leadership Skills,2020,Regular,ACES
FSHN 443,Management of Fine Dining,2020,Regular,ACES
FSHN 459,Nutrition Focused Physical Assessment,2020,Regular,ACES
FSHN 461,Food Processing I,2020,Regular,ACES
FSHN 462,Food Processing II,2020,Regular,ACES
FSHN 464,Beverage Science & Technology,2020,Regular,ACES
FSHN 472,Applied Food Microbiology,2020,Regular,ACES
FSHN 511,Regulation of Metabolism,2020,Regular,ACES
FSHN 522,Function and Metabolism of Essential Fatty Acids and Cholesterol,2020,Regular,ACES
FSHN 591,Dietetic Internship II,2020,Regular,ACES
GC 295,URAP Research Apprenticeship,2020,Regular,Unknown
GC 500,URAP Graduate Mentor Practicum,2020,Regular,Unknown
GCL 144,"Stereotypes, Prejudice & Discrimination",2020,Regular,Unknown
GEOG 103,Earth's Physical Systems,2020,Sustainability,LAS
GEOG 105,The Digital Earth,2020,Regular,LAS
GEOG 199,Undergraduate Open Seminar,2020,Regular,LAS
GEOG 222,Big Rivers of the World,2020,Sustainability,LAS
GEOG 254,"American People, Places, & Environments",2020,Sustainability,LAS
GEOG 287,Environment and Society,2020,Regular,LAS
GEOG 370,"Water Planet, Water Crisis",2020,Sustainability,LAS
GEOG 371,Spatial Analysis,2020,Regular,LAS
GEOG 391,Honors Individual Study,2020,Regular,LAS
GEOG 438,Geography of Health Care,2020,Regular,LAS
GEOG 446,Sustainable Planning Seminar,2020,Sustainability,LAS
GEOG 459,Ecohydraulics,2020,Sustainability,LAS
GEOG 465,Transportation & Sustainability,2020,Sustainability,LAS
GEOG 476,Applied GIS to Environ Studies,2020,Sustainability,LAS
GEOG 478,Techniques of Remote Sensing,2020,Regular,LAS
GEOG 489,Programming for GIS,2020,Regular,LAS
GEOG 491,Research in Geography,2020,Regular,LAS
GEOL 104,Geology of the National Parks,2020,Sustainability,ESE
GEOL 111,Emergence of Life,2020,Regular,ESE
GEOL 333,Earth Materials and the Env,2020,Sustainability,ESE
GEOL 370,"Water Planet, Water Crisis",2020,Regular,ESE
GEOL 380,Environmental Geology,2020,Regular,ESE
GEOL 436,Petrology and Petrography,2020,Regular,ESE
GEOL 440,Sedimentology and Stratigraphy,2020,Regular,ESE
GEOL 450,Probing the Earth's Interior,2020,Regular,ESE
GEOL 485,Risk Analysis in Earth Science,2020,Regular,ESE
GEOL 510,Integrated Graduate Geology,2020,Regular,ESE
GEOL 552,Geodynamics,2020,Regular,ESE
GEOL 561,Geomicrobiology & Geochemistry,2020,Regular,ESE
GEOL 572,Hydrogeology with Python,2020,Regular,ESE
GER 201,German Popular Culture,2020,Regular,LAS
GER 250,Grimms' Fairy Tales - ACP,2020,Regular,LAS
GER 261,The Holocaust in Context,2020,Regular,LAS
GER 321,German for Economics,2020,Regular,LAS
GER 420,German Cultural History,2020,Regular,LAS
GER 465,Ling Structures of German,2020,Regular,LAS
GER 473,1920s to Today,2020,Regular,LAS
GER 575,20thC German Studies,2020,Regular,LAS
GER 576,Open Seminar in German Studies,2020,Regular,LAS
GLBL 200,Foundations of Research,2020,Regular,LAS
GLBL 250,Development,2020,Regular,LAS
GLBL 251,Warfare Milit Insts & Soc,2020,Regular,LAS
GLBL 260,Global Human Rights,2020,Regular,LAS
GLBL 270,Introduction to Global Markets and Society,2020,Regular,LAS
GLBL 280,Nuclear Weapons & Arms Control,2020,Regular,LAS
GLBL 298,Global Studies Seminar Abroad,2020,Regular,LAS
GLBL 340,Global Health: Policy & Governance,2020,Regular,LAS
GLBL 392,Int Diplomacy and Negotiation,2020,Sustainability,LAS
GLBL 403,Women in Muslim Societies,2020,Regular,LAS
GLBL 450,Poverty Interventions and Evaluation,2020,Regular,LAS
GLBL 480,Energy and Security,2020,Regular,LAS
GLBL 495,Research Methods II,2020,Regular,LAS
GLBL 501,Perspectives on Global Studies,2020,Regular,LAS
GRK 102,Elementary Greek II,2020,Regular,LAS
GRK 202,Classical & Koine Greek II,2020,Regular,LAS
GRK 252,Elementary Modern Greek II,2020,Regular,LAS
GRK 401,Survey of Greek Literature,2020,Regular,LAS
GRK 404,Intermediate Modern Greek II,2020,Regular,LAS
GRK 520,Proseminar,2020,Regular,LAS
GRK 595,Intro to Classical Studies,2020,Regular,LAS
GRKM 202,Elementary Modern Greek II,2020,Regular,LAS
GRKM 404,Intermediate Modern Greek II,2020,Regular,LAS
GS 102,Preparation for 21st Century Challenges,2020,Regular,Unknown
GS 199,Undergraduate Open Seminar,2020,Regular,Unknown
GS 299,DGS Study Abroad,2020,Regular,Unknown
GWS 103,Black Women in the Diaspora,2020,Regular,LAS
GWS 199,Undergraduate Open Seminar,2020,Regular,LAS
GWS 202,Sexualities,2020,Regular,LAS
GWS 204,Gender in Gaming,2020,Regular,LAS
GWS 215,US Citizenship Comparatively,2020,Regular,LAS
GWS 245,"Wives, Workers and Witches in Pre-Modern Europe",2020,Regular,LAS
GWS 335,"Film, TV, and Gender",2020,Regular,LAS
GWS 350,Feminist & Gender Theory,2020,Regular,LAS
GWS 357,Literatures of the Displaced,2020,Regular,LAS
GWS 361,Women in East Asia,2020,Regular,LAS
GWS 385,Transnational Sexualities,2020,Regular,LAS
GWS 403,Women in Muslim Societies,2020,Regular,LAS
GWS 465,"Race, Sex, and Deviance",2020,Regular,LAS
GWS 495,Advanced Topics GWS,2020,Regular,LAS
GWS 498,Senior Seminar,2020,Regular,LAS
GWS 512,Gender Relations & Intl Dev,2020,Regular,LAS
GWS 561,Race and Cultural Critique,2020,Regular,LAS
GWS 580,Queer Theories & Methods,2020,Regular,LAS
GWS 581,Topics in Queer Studies,2020,Regular,LAS
HDFS 305,Middle Childhood,2020,Regular,ACES
HDFS 322,US Latina and Latino Families,2020,Regular,ACES
HDFS 361,Creative Dance for Children,2020,Regular,ACES
HDFS 379,HDFS Study Abroad Experience,2020,Regular,ACES
HDFS 396,Honors Research or Thesis,2020,Regular,ACES
HDFS 408,Hospitalized Children,2020,Regular,ACES
HDFS 420,"Inequality, Public Policy, and U.S. Families",2020,Regular,ACES
HDFS 426,Family Conflict Management,2020,Regular,ACES
HDFS 444,"LGBT Indiv, Fam & Community",2020,Regular,ACES
HDFS 499,Seminar,2020,Regular,ACES
HDFS 503,Social-Emotional Development,2020,Regular,ACES
HDFS 521,Family Theories,2020,Regular,ACES
HDFS 586,"Health and Leisure in Recreation, Sport and Tourism",2020,Regular,ACES
HDFS 591,Qualitative Methods,2020,Regular,ACES
HDFS 594,Intermed Statistical Analysis,2020,Regular,ACES
HEBR 202,Elementary Modern Hebrew II,2020,Regular,LAS
HEBR 407,Topics Hebrew Lang & Lit,2020,Regular,LAS
HIST 105,Latin America to Independence,2020,Regular,LAS
HIST 135,History of Islamic Middle East,2020,Regular,LAS
HIST 140,Western Civ to 1660-ACP,2020,Regular,LAS
HIST 141,Western Civ to 1660,2020,Regular,LAS
HIST 172,US History Since 1877,2020,Regular,LAS
HIST 191,Freshman Honors Tutorial,2020,Regular,LAS
HIST 207,Digital Documentary Publishing,2020,Regular,LAS
HIST 220,Traditional China,2020,Regular,LAS
HIST 227,Modern Japanese History,2020,Regular,LAS
HIST 241,History of Ancient Rome,2020,Regular,LAS
HIST 245,"Wives, Workers and Witches in Pre-Modern Europe",2020,Regular,LAS
HIST 251,Warfare Milit Insts & Soc,2020,Regular,LAS
HIST 252,The Holocaust,2020,Regular,LAS
HIST 258,20thC World to Midcentury,2020,Regular,LAS
HIST 265,Science in Western Culture,2020,Regular,LAS
HIST 275,Afro-American History to 1877,2020,Regular,LAS
HIST 289,History of Religion in America,2020,Regular,LAS
HIST 310,Global Capitalism in History,2020,Regular,LAS
HIST 312,Immigrant America,2020,Regular,LAS
HIST 337,Middle East Since World War I,2020,Regular,LAS
HIST 348,Early Euro Absolut & Expansion,2020,Regular,LAS
HIST 356,The Modern Balkans through Literature and Film,2020,Regular,LAS
HIST 357,Modern France,2020,Regular,LAS
HIST 361,Euro Thght & Soc Since 1789,2020,Regular,LAS
HIST 381,Urban History,2020,Regular,LAS
HIST 385,Transnational Sexualities,2020,Regular,LAS
HIST 425,Classical Chinese Thought,2020,Regular,LAS
HIST 434,Women in Muslim Societies,2020,Regular,LAS
HIST 442,Roman Law and Legal Trad,2020,Regular,LAS
HIST 492,Historiography and Methodology,2020,Regular,LAS
HIST 507,Prob in Latin American Hist,2020,Regular,LAS
HIST 570,Prob in American Hist to 1830,2020,Regular,LAS
HIST 594,Intro Historical Writing,2020,Regular,LAS
HNDI 202,Elementary Hindi-Urdu II,2020,Regular,LAS
HNDI 404,Intermediate Hindi II,2020,Regular,LAS
HNDI 406,Advanced Hindi II,2020,Regular,LAS
HORT 100,Introduction to Horticulture,2020,Regular,ACES
HORT 199,Special Topics,2020,Regular,ACES
HORT 240,Plant Propagation,2020,Regular,ACES
HORT 261,Biotechnology in Agriculture,2020,Regular,ACES
HORT 294,On-Campus Horticulture Internship,2020,Regular,ACES
HORT 341,Greenhouse Mgmt and Production,2020,Regular,ACES
HORT 361,Small Fruit Production,2020,Regular,ACES
HORT 393,Off-Campus Horticulture Internship,2020,Regular,ACES
HORT 430,Children and Nature,2020,Sustainability,ACES
HORT 453,Principles of Plant Breeding,2020,Regular,ACES
HORT 566,Plant Gene Regulation,2020,Regular,ACES
HRD 402,Business Principles for HRD,2020,Regular,Education
HRD 415,Diversity in the Workplace,2020,Regular,Education
HRD 530,Organization Development,2020,Regular,Education
HRD 540,Learning on the Job,2020,Regular,Education
HRD 550,Adult & Professional Education,2020,Regular,Education
HRD 572,e-Learning Ecologies,2020,Regular,Education
HT 503,Hardware Engineering for Health Technology,2020,Regular,Unknown
HUM 395,Special Topics,2020,Regular,Grainger
IB 103,Introduction to Plant Biology,2020,Regular,Unknown
IB 108,The Biology of Dinosaurs,2020,Regular,Unknown
IB 202,Physiology,2020,Regular,Unknown
IB 271,Organismal Biology,2020,Regular,Unknown
IB 302,Evolution,2020,Regular,Unknown
IB 329,Animal Behavior,2020,Regular,Unknown
IB 335,Plant Systematics,2020,Regular,Unknown
IB 361,Ecology and Human Health,2020,Regular,Unknown
IB 416,Population Genetics,2020,Regular,Unknown
IB 420,Plant Physiology,2020,Regular,Unknown
IB 427,Insect Physiology,2020,Regular,Unknown
IB 432,Genes and Behavior,2020,Regular,Unknown
IB 435,Critical Evaluation of Herbal Remedies,2020,Regular,Unknown
IB 440,Plants and Global Change,2020,Regular,Unknown
IB 451,Conservation Biology,2020,Regular,Unknown
IB 461,Ornithology,2020,Regular,Unknown
IB 476,Applied GIS to Environ Studies,2020,Regular,Unknown
IB 487,Math Modeling in Life Sciences,2020,Regular,Unknown
IB 505,Bioinformatics & Systems Biol,2020,Regular,Unknown
IB 531,Emerging Infectious Diseases,2020,Regular,Unknown
IE 330,Industrial Quality Control,2020,Regular,Unknown
IE 340,Human Factors,2020,Regular,Unknown
IE 361,Production Planning & Control,2020,Regular,Unknown
IE 370,Stochastic Processes and Applications,2020,Regular,Unknown
IE 398,Special Topics,2020,Regular,Unknown
IE 413,Simulation,2020,Regular,Unknown
IE 420,Financial Engineering,2020,Regular,Unknown
IE 510,Applied Nonlinear Programming,2020,Regular,Unknown
IE 511,Integer Programming,2020,Regular,Unknown
IE 514,"Optimization Methods for Large-Scale, Network-Based Systems",2020,Regular,Unknown
IE 519,Combinatorial Optimization,2020,Regular,Unknown
IE 525,Numerical Methods in Finance,2020,Regular,Unknown
IE 526,Stochastic Calculus in Finance,2020,Regular,Unknown
IE 546,Human Factors in Health Care Engineering Systems,2020,Regular,Unknown
IHLT 232,Health Disparities in the U.S.,2020,Regular,NA
INFO 102,Little Bits to Big Ideas,2020,Regular,IS
INFO 199,Undergraduate Open Seminar,2020,Regular,IS
INFO 491,Ugrad Bioinformatics Seminar,2020,Regular,IS
INFO 591,Grad Bioinformatics Seminar,2020,Regular,IS
IS 266,Community Innovation,2020,Regular,Unknown
IS 351,The Design of Usable Information Interfaces,2020,Regular,Unknown
IS 390,Special Topics in Information Studies,2020,Regular,Unknown
IS 403,Literature and Resources for Children,2020,Regular,Unknown
IS 404,Literature and Resources for Young Adults,2020,Regular,Unknown
IS 409,Storytelling,2020,Regular,Unknown
IS 418,Community Engagement,2020,Regular,Unknown
IS 445,Information Books and Resources for Youth,2020,Regular,Unknown
IS 451,Introduction to Network Information Systems,2020,Regular,Unknown
IS 452,Foundations of Information Processing,2020,Regular,Unknown
IS 458,Instructional Strategies and Techniques for Information Professionals,2020,Regular,Unknown
IS 461,Museum Informatics,2020,Regular,Unknown
IS 462,Information Assurance,2020,Regular,Unknown
IS 490,Advanced Topics in Information Studies,2020,Regular,Unknown
IS 501,Information Organization and Access,2020,Regular,Unknown
IS 502,"Libraries, Information and Society",2020,Regular,Unknown
IS 503,Use and Users of Information,2020,Regular,Unknown
IS 504,Reference and Information Services,2020,Regular,Unknown
IS 505,Administration & Management of Libraries and Information Centers,2020,Regular,Unknown
IS 506,Youth Services Librarianship,2020,Regular,Unknown
IS 507,Introduction to Bibliographic Metadata,2020,Regular,Unknown
IS 508,Collection Development,2020,Regular,Unknown
IS 515,Media Literacy for Youth,2020,Regular,Unknown
IS 516,School Library Media Center,2020,Regular,Unknown
IS 525,Government Information,2020,Regular,Unknown
IS 530,Information Needs of Particular Communities,2020,Regular,Unknown
IS 532,Theory & Practice of Data Cleaning,2020,Regular,Unknown
IS 538,Competitive Intelligence & Knowledge Management,2020,Regular,Unknown
IS 539,Information Consulting,2020,Regular,Unknown
IS 540,Applied Business Research,2020,Regular,Unknown
IS 542,"Data, Statistical Models and Information",2020,Regular,Unknown
IS 543,Sociotechnical Information Systems,2020,Regular,Unknown
IS 548,Library Buildings,2020,Regular,Unknown
IS 559,Network Analysis,2020,Regular,Unknown
IS 561,Information Modeling,2020,Regular,Unknown
IS 562,Metadata in Theory & Practice,2020,Regular,Unknown
IS 568,Theological Librarianship,2020,Regular,Unknown
IS 572,Medieval Manuscripts and Early Modern Books,2020,Regular,Unknown
IS 577,Advanced Bibliographic Metadata,2020,Regular,Unknown
IS 580,Rare Book and Special Collections Librarianship,2020,Regular,Unknown
IS 581,Administration and Use of Archival Materials,2020,Regular,Unknown
IS 582,Preserving Info Resources,2020,Regular,Unknown
IS 586,Digital Preservation,2020,Regular,Unknown
IS 587,History and Foundations of Library and Information Science,2020,Regular,Unknown
IS 590,Advanced Problems in Information Sciences,2020,Regular,Unknown
IS 591,Practicum,2020,Regular,Unknown
IS 592,Independent Study,2020,Regular,Unknown
IS 593,CAS Project,2020,Regular,Unknown
IS 594,Information Sciences Practice,2020,Regular,Unknown
ITAL 220,"Contemporary Italian, Oral and Written",2020,Regular,LAS
ITAL 310,Advanced Grammar,2020,Regular,LAS
ITAL 413,Dante,2020,Regular,LAS
ITAL 415,Europe and the Mediterranean,2020,Regular,LAS
ITAL 435,Introduction to Romance Linguistics,2020,Regular,LAS
ITAL 491,Honors Senior Thesis,2020,Regular,LAS
